sez,LST_2025,densita_viaria_km_kmq
270,43.05,95.638
271,42.41,52.997
272,41.98,13.567
273,41.86,36.177
274,41.63,64.123
275,,14.528
276,41.44,26.893
277,41.44,63.142
278,41.56,56.275
279,41.76,64.006
280,41.96,16.167
281,41.85,32.543
282,42.29,16.585
283,42.79,28.938
284,42.37,26.638
285,42.06,21.877
286,42.87,88.045
287,,104.298
288,42.37,31.278
289,41.8,17.204
290,41.84,28.616
291,41.47,29.115
292,41.6,68.054
293,41.64,103.378
294,42.04,79.635
295,42.2,84.642
296,41.8,79.37
297,43.13,40.324
298,43.11,23.48
299,43.26,68.361
300,42.87,46.602
301,42.38,13.257
302,41.81,34.684
303,41.93,29.473
304,41.68,13.436
305,41.8,30.426
306,42.11,35.088
307,42.31,15.967
308,41.74,12.607
309,41.94,3.9
310,42.18,50.382
311,,130.342
312,42.15,30.929
313,42.66,9.923
314,42.68,28.001
315,42.14,51.539
316,42.38,80.578
317,42.37,20.105
318,42.04,73.416
319,41.45,69.112
320,41.69,52.401
321,42.52,107.03
322,42.58,76.915
323,42.51,90.479
324,,67.5
325,,52.684
326,42.51,61.8
327,42.44,110.321
328,42.13,45.53
329,42.4,87.569
330,41.92,19.806
331,42.16,24.032
332,42.25,76.979
333,42.6,33.889
334,42.37,76.814
335,42.68,76.661
336,42.72,21.204
337,42.42,53.901
338,41.87,69.705
339,42.16,78.625
340,41.74,42.295
341,41.55,73.796
343,42.36,18.484
344,42.04,29.598
345,42.21,38.935
346,42.58,58.849
347,42.64,23.279
348,41.99,38.831
349,41.67,23.086
350,41.3,21.087
351,41.65,37.336
352,42.22,61.84
353,42.53,126.487
354,,90.602
355,,38.115
356,42.43,28.733
357,42.12,60.919
358,41.7,70.922
359,41.59,64.08
360,41.52,28.893
361,41.61,22.189
362,41.89,76.149
363,41.9,55.461
364,41.82,23.732
365,42.25,81.462
366,42.55,51.783
367,42.08,86.542
369,41.78,35.502
370,42.35,71.65
371,42.06,10.673
372,41.81,78.398
373,41.66,73.879
374,41.72,1.282
375,41.44,22.152
376,41.81,69.896
377,,65.569
378,41.51,80.415
379,41.78,68.536
380,41.72,16.721
381,41.6,62.629
382,41.88,16.351
384,42.7,0.453
385,42.13,45.358
386,41.5,45.105
387,41.6,24.704
388,41.39,11.544
389,41.56,27.852
390,41.91,41.424
391,42.86,59.917
392,42.48,36.392
393,42.32,65.451
394,41.87,19.452
395,42.31,24.793
396,42.27,34.988
397,42.13,13.429
398,42.23,99.556
399,42.0,36.37
400,42.39,33.093
401,42.4,17.43
402,42.43,32.475
403,42.53,69.774
404,42.55,45.787
405,43.16,69.008
406,43.46,33.606
407,43.16,56.16
408,42.81,44.13
409,,66.765
410,42.62,107.493
411,42.19,49.618
412,42.51,30.433
413,43.36,0.0
414,42.7,33.157
415,42.69,57.084
416,42.6,44.749
417,42.23,0.0
418,42.66,51.802
419,42.7,63.352
420,42.69,84.827
421,42.58,72.589
422,42.57,77.18
423,42.25,60.838
424,41.66,43.161
